,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01
facebook,0.6917888314832336,0.9385042659721738,0.7047371890309024,0.7995036303425122,1.5518314939115998,1.4578190282324657,0.4808165864398577,0.5667361645273739,0.6405043831611168,0.6587980687095771,0.647530832911906,0.5848666864187533,0.3698753890263852,0.4718783088288541,0.4708792717188631,0.7362215528549004,0.6750481908500395,0.4119890438915365,0.4230682424139062,0.4709903356702882,0.5662869699575945,0.6714383523906847,0.4581023780849621,0.5134849666029517,0.4310459684097905,0.5085813210335244,0.4292580380427348,0.5160987789112365,0.5626538396654429,0.3497903714873014,0.4257362847775331,0.389664569961412
5g,0.2373335538241029,0.2486739299101701,0.15438191011566502,0.14855728776494406,0.16813120341726132,0.19738257634550888,0.3826879936092596,0.24898542322276265,0.1528263394652173,0.1267560473131442,0.10346280473788227,0.08862748648067327,0.03568173186832965,0.05032788325592634,0.057500078941715126,0.04676752341870316,0.07706387368785078,0.06337202692729739,0.1061469727162274,0.04773843360112443,0.02398633140083386,0.038844885690434434,0.0505861200913068,0.051193396447080805,0.020623537371731785,0.06271369660733478,0.032946831811874584,0.038770822086035266,0.02252304405955276,0.0071704718550341185,0.0597613790263165,0.011600590480629638
blockchain,0.09619559644243253,0.11685370665310554,0.12654437570923702,0.13050325446595334,0.11405530956701992,0.14885136185487227,0.1477007290776262,0.18932743919507528,0.17943451540256178,0.10961747001601356,0.11754581967926965,0.09025778027429306,0.07650572132713304,0.09169692208510016,0.0730046838118544,0.07787725206450419,0.0713792455823255,0.10065603746095454,0.04840519566661202,0.10812541214542636,0.015084416329621422,0.07832558044924999,0.03486640404160414,0.03887278013524693,0.039118644258185405,0.041751556933761806,0.026685907756941983,0.02568514908443199,0.0553490532565909,0.018812973914120627,0.013723713990211713,0.02793458009875184
bitcoin,0.04286585927202348,0.03600766396470224,0.05875986877916831,0.08235859797956352,0.05515565913207313,0.09101983371658844,0.2092996720537415,0.3033291893291574,0.651587023658761,0.2580509159579809,0.11932536262720685,0.11085200033197504,0.09656033577049043,0.14036352601239907,0.07309654186807181,0.10961248647042336,0.05915212045592246,0.04294427987548582,0.042377829512125854,0.050832294369643316,0.029337215328808706,0.03564960103081631,0.018940867585382843,0.02116314532549044,0.10143273809159252,0.0515334849034754,0.02837570664804692,0.1172995091438926,0.05802628388177386,0.05771875947827116,0.03312613758109295,0.10410302637351496
algorithm,0.20277694538285795,0.17899511504081014,0.16727477358822804,0.1439694291106687,0.1807799004457395,0.1425499005888621,0.16706851759845506,0.1339404203294891,0.1910199723200756,0.17611336426315266,0.1745767986290491,0.16209463360579945,0.11924500759209028,0.1350962335237313,0.16334504030010494,0.1267573291661395,0.1504833139658901,0.1375469729393423,0.13897218500009348,0.12054655226496185,0.2411170074543637,0.11502594616606347,0.15576080924276248,0.11066255988951876,0.10862398261767894,0.11639308225871545,0.10744617087731716,0.09201355926244337,0.0635404181197693,0.07998029187417208,0.0884344227546766,0.06935736859404383
wireless,0.08152791657850783,0.0955348351863268,0.10576819285070756,0.10358020912076492,0.09996791406345952,0.07321902112527036,0.11512168223911502,0.10553965616200782,0.10577043256085687,0.07490269943847162,0.10861876817728328,0.15642951705787808,0.06819669478556001,0.08051419293762423,0.11233581280312444,0.07860684249768388,0.08210580811490434,0.0864641658810142,0.14598018005021055,0.09501480802805512,0.08958759084925741,0.07594464823078087,0.10009034619664413,0.1299253730651928,0.07713116022364429,0.09512389063728746,0.05160990865430578,0.0561798305428755,0.0729881841897006,0.045970381250680786,0.07582367173303928,0.10195686901752164
ethereum,0.007773044117225484,0.00956509314173927,0.008017373244955295,0.008946896877378234,0.009936380026211382,0.021655667709147286,0.029411139801119205,0.033343401283695576,0.02525166063475031,0.02832256316838272,0.016273471727050653,0.028065183078611042,0.007344324629140982,0.03300512957701063,0.01444054463580768,0.006060047487891387,0.01330609690349372,0.0150857165690505,0.00504590475892792,0.0028460132718850176,0.0028632733415309714,0.004018474383636857,0.004134413585411454,0.002168227375063202,0.0013341475943862194,0.026757409737198014,0.013203987176038118,0.009898381904217532,0.01,0.0006341369979287124,0.0007181749718421563,0.0004195175615122488
cyberattack,0.025502490988217844,0.015414288848596322,0.02521354982279108,0.018804719295665448,0.04043520249783779,0.02432141118724593,0.032780414512913615,0.02278124976032596,0.029657130364873118,0.011928099580070614,0.02093031923368727,0.02133493666129884,0.033165895409780544,0.033447440733065256,0.04365464222479088,0.06433798163230174,0.01890421130236629,0.017783427838734496,0.027307862938586263,0.02663973617435529,0.025861386666279282,0.03796565029892675,0.02210514000040632,0.014031591848006838,0.01356315527960736,0.012380947711274626,0.014172890955054557,0.01668538023736247,0.012394974377726756,0.02217890660440956,0.016383554363496172,0.014891390028426741
linux,0.06383287401456161,0.0382262346213958,0.04570559263191426,0.06339766630399307,0.2273217000397962,0.05723166360651333,0.05167576979257025,0.06908203221754622,0.048003975925829036,0.08013964757373898,0.07233043067093965,0.07949126515562298,0.053631669185001216,0.054269867809779146,0.05213143332968476,0.06314003663095448,0.04681275308549475,0.0704526775104699,0.05715388175672108,0.07427351197250529,0.06189007261933449,0.08764011143564636,0.0447853037868312,0.052556440536383926,0.07938639994898841,0.04850415937594242,0.07822090500065118,0.033386680290107856,0.05707611281984614,0.08956198128378734,0.06612295306719042,0.07769578771464881
mimo,0.004998578842702625,0.005642720546673199,0.003404338479577877,0.008008993535987288,0.004086667340904629,0.015480458419042026,0.0208371824527792,0.003955607755282773,0.007590981796950548,0.00735786075691867,0.009141219780253087,0.009034267912772584,0.005265167316981575,0.002271226979191581,0.004036404224263759,0.0014517494049070144,0.016622475845694536,0.004981416074654467,0.006028692919897547,0.004095832095832096,0.0,0.003823122294780101,0.0028962459649247425,0.004942118701504857,0.004218976541117353,0.005012312719851594,0.0024816934393244714,0.008450238638331626,0.002671951621770204,0.0005265957446808512,0.004588128899130517,0.002286772926377782
radius,0.0031723845581304315,0.0063262241786154645,0.006100344416595236,0.007600297560621603,0.004870702878186077,0.0064590797322490725,0.003114923042738215,0.006809087039748003,0.004123903639439532,0.0038412815856032415,0.003391908785555275,0.004162277501237296,0.0041915452388771425,0.007273939569590739,0.011168423583782023,0.0063754855730643115,0.004186129603891706,0.006883982342004439,0.0024226478105550393,0.00523503060397301,0.006119530104688261,0.002704297065898189,0.0018720216095281727,0.005110771502700318,0.003501911573239629,0.00527718060451141,0.0016814768510823625,0.00912774980338335,0.0030402741648573642,0.004212098370677271,0.002377440546662271,0.0007895077720207254
botnet,0.007903412805042573,0.009735014773477308,0.006415888742197392,0.016356266553012814,0.009107443331933687,0.005821322646202628,0.013703140727859484,0.01880747622964544,0.021415623651985405,0.006674198562396606,0.01677598003835235,0.011681953458510379,0.014184574126230497,0.01230946674229501,0.010143868009391195,0.013035823731240959,0.0365861389768569,0.0139865579255992,0.013421265991017063,0.015382300946899019,0.022176317242015086,0.030131332153086582,0.06451843059741115,0.005202169649980621,0.0034437156414642107,0.0030383068814046517,0.0067749758307779,0.006383348255151187,0.004742160014495164,0.002950253019219048,0.005524089924435888,0.008213365699574952
yang,0.009204099234583785,0.0021048144623576443,0.004568964224566526,0.0026326964977821717,0.003638037593187095,0.002924587881338428,0.006033978565846106,0.009844029934360036,0.007616220981486924,0.007821545582385809,0.0016712652836387602,0.0023268378876291963,0.004263860304571944,0.007484437800589007,0.005692081874447961,0.0065611398995306025,0.012521356766746074,0.003466100098495981,0.0032332778561361504,0.003615248812389494,0.002837455027239909,0.005341263913526089,0.004163865546218486,0.007321558379832159,0.00801106401253803,0.005693013362378156,0.0017069516056627554,0.0034641171000011893,0.001667155428277616,0.003356160618664602,0.0029296340429094984,0.007243148778379844
minix,0.0,0.00014641288433382137,0.0,0.00011990407673860913,0.0,0.0003495762711864407,0.0,0.0,0.0007335983774130727,0.00740815947884885,0.000533980582524272,0.0002377521613832853,0.0,0.0004954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017625678590020078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscsi,0.006666666666666669,0.0,0.0,0.0,0.0,0.0006991525423728814,0.0007449209932279909,0.00035256410256410265,0.0003319919517102616,0.0018232044198895027,0.001575716234652115,0.0009510086455331412,0.0004608938547486033,0.0007205240174672492,0.0016452991452991456,0.0008672798948751643,0.0013095238095238095,0.001065891472868217,0.00022948539638386651,0.0004502046384720328,0.0004479492369674713,0.0015068493150684932,0.003478915662650603,0.0003323262839879154,0.0015598739495798321,0.0014208826695371367,0.0018259557344064386,0.0006659939455095861,0.0016808031623864498,0.00035106382978723413,0.0012287234042553192,0.0007701283547257876
